Country Name,Country Code,gdp1960,gdp1961,gdp1962,gdp1963,gdp1964,gdp1965,gdp1966,gdp1967,gdp1968,gdp1969,gdp1970,gdp1971,gdp1972,gdp1973,gdp1974,gdp1975,gdp1976,gdp1977,gdp1978,gdp1979,gdp1980,gdp1981,gdp1982,gdp1983,gdp1984,gdp1985,gdp1986,gdp1987,gdp1988,gdp1989,gdp1990,gdp1991,gdp1992,gdp1993,gdp1994,gdp1995,gdp1996,gdp1997,gdp1998,gdp1999,gdp2000,gdp2001,gdp2002,gdp2003,gdp2004,gdp2005,gdp2006,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gini1960,gini1961,gini1962,gini1963,gini1964,gini1965,gini1966,gini1967,gini1968,gini1969,gini1970,gini1971,gini1972,gini1973,gini1974,gini1975,gini1976,gini1977,gini1978,gini1979,gini1980,gini1981,gini1982,gini1983,gini1984,gini1985,gini1986,gini1987,gini1988,gini1989,gini1990,gini1991,gini1992,gini1993,gini1994,gini1995,gini1996,gini1997,gini1998,gini1999,gini2000,gini2001,gini2002,gini2003,gini2004,gini2005,gini2006,gini2007,gini2008,gini2009,gini2010,gini2011,gini2012,gini2013,gini2014
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,66144443.28,74855554.23,92240739.11,110066664.7,124462960.8,137951849.4,153270367.7,173511108,201862959.4,245896292,286474069,338696290.3,373403697.1,391570363.5,410388881.6,423762955.5,456537029,500088880.1,494185176.5,541074064.5,579851841.6,620037026.1,651851840.3,783837838,773765171.5,802529319.2,839996355.5,898356132.3,997374111.1,1135143593,1289254333,1347349852,1206410370,1135539037,1129918370,1204713111,1200587519,1269117037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,18574308433,19651696719,19886885429,21500727965,23758539590,25930115354,27255011759,30383021615,32647552917,36612162616,41252099899,45127113899,51936915888,63700192184,88789977892,97098183804,1.05E+11,1.10E+11,1.18E+11,1.35E+11,1.50E+11,1.77E+11,1.94E+11,1.77E+11,1.93E+11,1.80E+11,1.82E+11,1.89E+11,2.36E+11,2.99E+11,3.11E+11,3.26E+11,3.25E+11,3.12E+11,3.23E+11,3.68E+11,4.01E+11,4.36E+11,3.99E+11,3.89E+11,4.15E+11,3.78E+11,3.94E+11,4.66E+11,6.13E+11,6.93E+11,7.47E+11,8.53E+11,1.06E+12,9.26E+11,1.14E+12,1.39E+12,1.53E+12,1.56E+12,1.45E+12,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,,,,33.15,,,,,,33.72,,,,,,34.14,,34.01,,,,,,,,,,,
Austria,AUT,6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15335961895,17815453244,22006488481,29444374165,35104534747,39962708383,42856485388,51421613521,61902776462,73759135358,81861199745,70863141524,71103573445,71947295848,67821539096,69219606278,98797566471,1.24E+11,1.33E+11,1.33E+11,1.66E+11,1.73E+11,1.95E+11,1.90E+11,2.03E+11,2.40E+11,2.37E+11,2.12E+11,2.18E+11,2.17E+11,1.96E+11,1.97E+11,2.13E+11,2.61E+11,3.00E+11,3.15E+11,3.34E+11,3.86E+11,4.28E+11,3.98E+11,3.90E+11,4.29E+11,4.08E+11,4.28E+11,4.36E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.04,,,,,,,31.52,31.06,,30.28,,,28.97,,,,30.04,,,,,,,,,,
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858006036,8792365811,4991350458,3973027397,3313739674,3052467522,3176749593,3962710163,4446396218,4581222442,5272617196,5707618247,6236024951,7275766111,8680511918,13245421881,20983019924,33050343783,48852482960,44291490421,52902703376,65951627200,68730906314,73560484385,75198010965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.96,,,,,,36.5,17.36,18.81,16.23,16.64,,,33.03,,,,,,
Burundi,BDI,195999990,202999992,213500006,232749998,260750008,158994963,165444571.4,178297142.9,183200000,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222,1082926304,987143931.2,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590.2,1000428394,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723.1,825394484.4,784654423.6,915257323.4,1117257314,1273180655,1356078300,1611634286,1739781536,2026864414,2355652064,2472384864,2714505576,3093647293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,,,,,,42.39,,,,,,,,33.27,,,,,,,,
Belgium,BEL,11658722591,12400145222,13264015675,14260017387,15960106681,17371457608,18651883472,19992040788,21376353113,23710735895,26807906414,29935284927,37351205206,47925688263,56246582436,65928375562,71384848485,83155543050,1.02E+11,1.17E+11,1.27E+11,1.05E+11,92446759668,87516370809,83667062273,86596915551,1.20E+11,1.50E+11,1.63E+11,1.65E+11,2.06E+11,2.11E+11,2.36E+11,2.26E+11,2.46E+11,2.89E+11,2.81E+11,2.54E+11,2.60E+11,2.60E+11,2.37E+11,2.37E+11,2.58E+11,3.19E+11,3.70E+11,3.87E+11,4.11E+11,4.72E+11,5.20E+11,4.86E+11,4.84E+11,5.28E+11,4.99E+11,5.25E+11,5.33E+11,,,,,,,,,,,,,,,,,,,,,,,,,,25.36,,,25.71,,,,24.95,,,28.41,,26.89,,,33.14,,,,,,,,,,,,,,
Benin,BEN,226195578.1,235668220.9,236434954.3,253927697.6,269819005.8,289908680.2,302925235.7,306221953.4,326323105.6,330748244.1,333627713.5,335073027.9,410331856.2,504376074.1,554654861.5,676870139.3,698408261.1,750049780.2,928843468.5,1186231018,1405251844,1291120191,1267778672,1095348199,1051134009,1045712790,1336102027,1562412226,1620246085,1502294414,1959965331,1986437798,1695315186,2274558079,1598075945,2169627138,2361116448,2268301645,2455092688,2488892429,2359122303,2499269391,2807657386,3557229702,4050869968,4358015993,4705087452,5511880906,6633463907,6584477485,6561782313,7289779658,7543183759,8307221458,8746992733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.62,,,,,,,,43.53,,,
Burkina Faso,BFA,330442817.2,350247237.1,379567178.3,394040749.1,410321785.6,422916848.4,433889831.6,450753993.2,460442864.2,478298781.5,458404330.1,482411279,578595584,674773821.2,751133642.6,939972703.5,976547572.2,1131225279,1475584037,1748480982,1928720390,1775842680,1754450379,1600278756,1459880353,1552493414,2036303381,2369835439,2616040646,2615588546,3101301781,3135045684,2240264712,2332018011,1895290965,2379518099,2586550747,2447669404,2804902724,3014665729,2632700363,2812845514,3205592290,4205691222,4838551100,5462709498,5844669846,6771277871,8369637065,8369175126,8979966766,10724061339,11166061508,12126322793,12542969275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.71,,,,46.85,,,,,43.22,,,,,,39.78,,,,,
Bangladesh,BGD,4274893914,4817580184,5081413341,5319458352,5386054620,5906636558,6439687599,7253575400,7483685475,8471006102,8992721811,8751842841,6288245867,8067027098,12459282563,19395903918,10083163546,9632469658,13299358553,15585961412,18114645161,20299387450,18562450000,17579454343,18996827599,22278423077,21846856465,24615653289,26579005763,27828101773,31218783739,30957483290,31708873954,33166520084,33768662171,37939748052,46438482370,48244308275,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02E+11,1.15E+11,1.29E+11,1.33E+11,1.50E+11,1.74E+11,,,,,,,,,,,,,,,,,,,,,,,,,,26.92,,,28.85,,,27.6,,,,33.46,,,,,33.46,,,,,33.22,,,,,32.12,,,,
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,20039627040,20056236482,19804095563,16959385666,17411159978,17562122845,20261212478,28429027237,23002459508,21746813187,20726301370,10943548387,10371900826,10831998208,9704878271,13069095618,10110256626,11195830237,14631307233,13659823860,13353530538,14303810795,16343311507,21101364345,25919754936,29299967875,33649637658,43637701889,53316403410,50161403995,48669060512,55765057234,52591569645,54479873100,55734676435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.43,,,30.71,,24.32,32.72,,26.38,,,,33.8,,28.92,,,,28.14,33.57,,35.78,34.28,,,
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,3072698410,3467819241,3645744778,3735106482,3905585210,3651861799,3052393698,3392021101,3702393715,3863563933,4229787347,4616223527,4751063956,5200266096,5567553606,5849467975,6101861598,6349202562,6183941062,6621186468,9063147956,8976446448,9632411234,11075116625,13150516503,15968726862,18505053191,21730000000,25710877660,22938218085,25713271277,29044069149,30756462766,32897606383,33868989362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,169802258.5,190096177.4,212252823.1,237742769.6,266664054.9,300392162.8,340000006.7,390196086.1,444901969.5,528137265.3,538423169.8,573400000,590900000,670900000,632400000,596200000,642100000,713000000,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,4961119000,5353524000,6019972000,6327552000,6516651000,6957996000,6949317000,7094413000,7706222000,7965588000,8318996000,8246650000,7820420000,7909580000,7889750000,8234470000,8431750000,8510500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802465,1866572973,2786045392,3671816538,4116699576,4685729739,5505984456,5748990555,6651226179,8370020196,10022840635,10903626824,12550175101,15441062281,18711890354,17264893103,16847493059,18318439121,16906005781,17851326454,18344278253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.97,,,34.04,,,33.04,,,,,,,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17369598958,17813389815,17022180272,16280372553,14931599418,13972637603,14756861538,14128412417,15222014828,12138485329,12736856485,12354820144,14594925393,17825436035,23141587718,30210091837,36961821894,45275747861,60752177439,49208656976,55220932614,59734593905,63615445567,73097619637,76139250365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.76,,,,,21.6,,28.76,,,27.81,27.96,27.71,28.32,30.05,28.97,26.25,27.39,28.17,28.78,27.22,27.69,27.72,26.46,,,
Belize,BLZ,28072479.84,29965001.85,31857593.86,33750115.88,36194588.47,40069931.47,44405595.96,47379308.71,44910180.72,47305390.35,53233534.21,59207317.43,66062499.17,78343558.28,103216371.9,118066302.3,96905828.73,117650000,136300000,151800000,194750000,192900000,179250000,189000000,210900000,209150000,227850000,276550000,314900000,363150000,413050000,444720750,518143700,559759650,580760200,620031750,641271350,654198100,688872450,732608000,831750000,871840750,932676400,990350000,1057850000,1114202700,1217442150,1290542550,1368625150,1336957250,1397113450,1487005600,1573867300,1624294250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.94,61.3,59.54,56.89,57.28,55.01,53.13,,,,,,,,,,,,,,,
Bermuda,BMU,84466654.08,89249986.7,94149985.97,96366652.31,107566650.6,114339049,134173373.8,155102984.6,150000000,164900000,186300000,211100000,235400000,269500000,312600000,345000000,386300000,447000000,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634899968,1679900032,1820359936,1867160064,2030749952,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000,5744414000,5550771000,5537537000,5573710000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,563110051.9,612518906.8,669722541.3,721142957.3,812543072.5,908874537,994044553.9,1084059815,908874537,964615698.7,1017171717,1095454545,1257615645,1263018491,2100249875,2404697651,2732083958,3227436282,3758220890,4421343606,4537487843,5891606676,5594118400,5422656262,6169481549,5377277407,3959379488,4347956299,4597615563,4715978868,4867582620,5343259389,5643864408,5734703452,5981218997,6715164551,7396952081,7925733786,8497499333,8285061618,8397858185,8141513292,7905485216,8082396526,8773451739,9549122264,11451869165,13120183157,16674324634,17339992165,19649631308,23948541156,27035110130,30601157742,34175832127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.04,,,53.55,,,,58.16,,58.1,63,58.88,60.16,,55.01,58.47,56.9,55.44,51.43,49.65,,46.26,46.64,,
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.20E+11,3.15E+11,4.26E+11,4.62E+11,4.07E+11,3.91E+11,4.38E+11,5.58E+11,7.86E+11,8.54E+11,8.86E+11,8.67E+11,6.02E+11,6.57E+11,5.60E+11,5.09E+11,5.59E+11,6.70E+11,8.92E+11,1.11E+12,1.40E+12,1.69E+12,1.66E+12,2.21E+12,2.62E+12,2.41E+12,2.39E+12,2.35E+12,,,,,,,,,,,,,,,,,,,,,,,,,,55.59,58.46,59.69,61.43,63.3,60.49,,53.17,60.12,,59.57,59.89,59.8,59.61,58.99,,59.33,58.62,58.01,56.88,56.65,55.93,55.23,54.37,53.87,,53.09,52.67,,
Barbados,BRB,87383113.71,93216432.38,96949756.33,109083059.2,108383060.9,114683045.1,123608022.7,137103729.9,137300000,154400000,181500000,204010328.9,233383640,284759098.1,340492903.7,402158285.8,435871861.9,495116619.3,552876225.3,670312672.3,860438453.3,946949724.9,989409791.7,1050464828,1144931026,1198180246,1315567053,1448665028,1540893883,1703922715,2023318164,2007109743,1950900000,2046188943,2151295089,2261969772,2411872814,2549296365,2874459181,3012031889,3119500000,3112350000,3168600000,3271200000,3509700000,3891500000,4303500000,4546000000,4595000000,4602000000,4445500000,4358000000,4313000000,4281000000,4348000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,,,,,,114040245.7,132758395.4,139030445.6,160819286.6,161211289.7,179080099.3,197523179.2,270818555.8,433092003.6,1073577086,1168304306,1423061357,1732721161,1941600704,2803780006,4928824958,4366213850,4264252336,3844723142,3782523088,3523612563,2358592817,2754463438,2690717551,2985467979,3520551724,3701667053,4183548189,4105706152,4087337960,4734020037,5115602837,5197332974,4051147228,4600000000,6001153306,5601090584,5843329108,6557333085,7872333215,9531417164,11470462389,12247680676,14393437576,10732593024,12370530144,16691360425,16953952578,16111135786,17256754269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,135653295.2,146391639.7,148934334,165585940.6,169264991.2,172217502,201375725.6,253182453.7,283855833.3,275949889.1,299787275.8,250045839.9,250794359.6,235239570.4,270801565.2,303053462.8,316420860.9,365964500.1,376955087.3,419035810.5,439158233.2,476360697.2,537050133.7,622026107.8,702682019,818869609.3,897731524.9,1196091805,1258332337,1264758198,1585472534,1820207626,1823692110,1781261413,1821412873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.83,,,,38.06,,,,,38.73,,
Botswana,BWA,30411418.77,32902592.61,35644932.16,38091832.74,41616368.1,45788670.77,51465624.53,58642385.17,66248426.63,77361532.5,96243298.14,126954476.8,165253184.2,244124114.8,306044207.5,355168715.6,372025093,451624957.3,590407374.4,819870590.8,1060889704,1073812407,1014945863,1172230578,1240821852,1114783536,1392602038,1965227089,2644554882,3083822372,3790636671,3942877347,4146464587,4160129175,4259258811,4730599685,4847757699,5020265173,4790481509,5484263050,5788311649,5489646898,5438856514,7511538757,8957491776,9931223498,10089153103,10939062374,10945056878,10267108398,12786670175,15682932628,14792390177,14979306814,15813371063,,,,,,,,,,,,,,,,,,,,,,,,,,54.21,,,,,,,,,60.96,,,,,,,,,64.73,,,,,,60.46,,,,,
Central African Republic,CAF,112155598.4,123134583.7,124482774.2,129379123.8,142025078.8,150574795.3,157930018.4,163820513.7,191767441.7,188039209.9,189106529.2,201450800.2,230317882.8,271183082.2,281398705.9,378660015.8,451152460.8,507298148.3,610578631.2,700764746.9,797048197.1,694803623.9,748312391.3,658679332.6,637820670.6,864849836.8,1122265015,1200991976,1264899288,1233930279,1440711459,1377374988,1411917554,1278781259,851174357.3,1115389674,1007791127,937741512.4,967338390.4,999477458.7,914500332,931833293.8,991387865,1139754772,1270080228,1350300947,1473721548,1698125618,1985370058,1981728141,1986014846,2195599557,2169706564,1544626422,1782927903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.33,,,,,,,,,,,43.57,,,,,56.3,,,,,,
Canada,CAN,41093453545,40767969454,41978852041,44657169109,48882938810,53909570342,60358632035,64768831262,70759031842,77887510242,87762273902,99120816003,1.13E+11,1.31E+11,1.60E+11,1.74E+11,2.06E+11,2.11E+11,2.18E+11,2.43E+11,2.73E+11,3.06E+11,3.13E+11,3.40E+11,3.54E+11,3.63E+11,3.76E+11,4.29E+11,5.06E+11,5.64E+11,5.92E+11,6.08E+11,5.90E+11,5.75E+11,5.76E+11,6.02E+11,6.27E+11,6.51E+11,6.31E+11,6.74E+11,7.39E+11,7.33E+11,7.53E+11,8.88E+11,1.02E+12,1.16E+12,1.31E+12,1.46E+12,1.54E+12,1.37E+12,1.61E+12,1.79E+12,1.83E+12,1.84E+12,1.79E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,,,,31.15,,,31.39,,,31.77,33.59,,33.65,,,,33.88,,,33.9,,,33.68,,,,
Central Europe and the Baltics,CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57E+11,2.43E+11,2.61E+11,2.75E+11,3.12E+11,3.85E+11,4.12E+11,4.09E+11,4.49E+11,4.35E+11,4.31E+11,4.72E+11,5.30E+11,6.35E+11,7.61E+11,8.82E+11,9.98E+11,1.26E+12,1.51E+12,1.27E+12,1.30E+12,1.44E+12,1.34E+12,1.42E+12,1.46E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,9522746719,10712712465,11879982759,13063643796,14480556572,15346741670,16480058705,17740013179,18942729779,20524886616,,,,,,,,,,,1.19E+11,1.09E+11,1.11E+11,1.11E+11,1.06E+11,1.07E+11,1.54E+11,1.93E+11,2.09E+11,2.02E+11,2.57E+11,2.60E+11,2.71E+11,2.64E+11,2.92E+11,3.42E+11,3.30E+11,2.87E+11,2.95E+11,2.90E+11,2.72E+11,2.79E+11,3.01E+11,3.52E+11,3.94E+11,4.08E+11,4.29E+11,4.77E+11,5.52E+11,5.40E+11,5.81E+11,6.96E+11,6.66E+11,6.85E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1,,,,,,,,33.66,,32.08,,32.35,,,,,,,,,,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5945677377,6262740657,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,4211762522,4705377500,5502763243,5482749434,5794301527,6053790468,7013580346,6913560997,7074820186,8179771226,8981111664,10694569522,11532517864,16387454417,15535549706,7226476865,9857547849,13359145454,15399431310,20729772211,27572307600,32644872980,24339421605,19770402077,19232737055,16486012247,17722536671,20902096532,24640912616,28385038397,31558927517,36424168146,44467946384,47693992627,55154226760,71349202309,75769008174,82808986192,79373597080,72995286764,79328640264,72336972322,70984568429,77840186385,1.01E+11,1.24E+11,1.55E+11,1.73E+11,1.80E+11,1.72E+11,2.18E+11,2.51E+11,2.65E+11,2.77E+11,2.58E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.21,,,57.25,,54.77,,56.43,,54.87,,55.52,,55.22,,,54.74,,,51.79,,,52,,50.84,,,
China,CHN,59184116449,49557050149,46685178473,50097303237,59062254850,69709153071,75879434727,72057028513,69993497847,78718820427,91506211248,98562023781,1.12E+11,1.37E+11,1.42E+11,1.61E+11,1.52E+11,1.72E+11,1.48E+11,1.77E+11,1.90E+11,1.94E+11,2.04E+11,2.29E+11,2.58E+11,3.07E+11,2.99E+11,2.71E+11,3.11E+11,3.46E+11,3.59E+11,3.81E+11,4.25E+11,4.43E+11,5.62E+11,7.32E+11,8.61E+11,9.58E+11,1.03E+12,1.09E+12,1.21E+12,1.33E+12,1.46E+12,1.65E+12,1.94E+12,2.27E+12,2.73E+12,3.52E+12,4.56E+12,5.06E+12,6.04E+12,7.49E+12,8.46E+12,9.49E+12,1.04E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.85,,,32.43,,,35.5,,,35.7,,,39.23,,,42.59,,,42.48,,,42.63,,42.06,37.01207517,,,
