uid,Country.Name,variable,value
76,"Micronesia, Fed. Sts.",Country.Code,FSM
77,Gabon,Country.Code,GAB
78,United Kingdom,Country.Code,GBR
79,Georgia,Country.Code,GEO
80,Ghana,Country.Code,GHA
81,Guinea,Country.Code,GIN
82,"Gambia, The",Country.Code,GMB
83,Guinea-Bissau,Country.Code,GNB
84,Equatorial Guinea,Country.Code,GNQ
85,Greece,Country.Code,GRC
86,Grenada,Country.Code,GRD
87,Greenland,Country.Code,GRL
88,Guatemala,Country.Code,GTM
89,Guam,Country.Code,GUM
90,Guyana,Country.Code,GUY
91,High income,Country.Code,HIC
92,"Hong Kong SAR, China",Country.Code,HKG
93,Honduras,Country.Code,HND
94,Heavily indebted poor countries (HIPC),Country.Code,HPC
95,Croatia,Country.Code,HRV
96,Haiti,Country.Code,HTI
97,Hungary,Country.Code,HUN
98,Indonesia,Country.Code,IDN
99,Isle of Man,Country.Code,IMN
100,India,Country.Code,IND
101,Not classified,Country.Code,INX
102,Ireland,Country.Code,IRL
103,"Iran, Islamic Rep.",Country.Code,IRN
104,Iraq,Country.Code,IRQ
105,Iceland,Country.Code,ISL
106,Israel,Country.Code,ISR
107,Italy,Country.Code,ITA
108,Jamaica,Country.Code,JAM
109,Jordan,Country.Code,JOR
110,Japan,Country.Code,JPN
111,Kazakhstan,Country.Code,KAZ
112,Kenya,Country.Code,KEN
113,Kyrgyz Republic,Country.Code,KGZ
114,Cambodia,Country.Code,KHM
115,Kiribati,Country.Code,KIR
116,St. Kitts and Nevis,Country.Code,K
117,"Korea, Rep.",Country.Code,KOR
118,Kosovo,Country.Code,
119,Kuwait,Country.Code,KWT
120,Latin America & Caribbean (developing only),Country.Code,LAC
121,Lao PDR,Country.Code,LAO
122,Lebanon,Country.Code,LBN
123,Liberia,Country.Code,LBR
124,Libya,Country.Code,LBY
125,St. Lucia,Country.Code,LCA
126,Latin America & Caribbean (all income levels),Country.Code,LCN
127,Least developed countries: UN classification,Country.Code,LDC
128,Low income,Country.Code,LIC
129,Liechtenstein,Country.Code,LIE
130,Sri Lanka,Country.Code,LKA
131,Lower middle income,Country.Code,LMC
132,Low & middle income,Country.Code,LMY
133,Lesotho,Country.Code,LSO
134,Lithuania,Country.Code,LTU
135,Luxembourg,Country.Code,LUX
136,Latvia,Country.Code,LVA
137,"Macao SAR, China",Country.Code,MAC
138,St. Martin (French part),Country.Code,MAF
139,Morocco,Country.Code,MAR
140,Monaco,Country.Code,MCO
141,Moldova,Country.Code,MDA
142,Middle East (developing only),Country.Code,MDE
143,Madagascar,Country.Code,MDG
144,Maldives,Country.Code,MDV
145,Middle East & North Africa (all income levels),Country.Code,MEA
146,Mexico,Country.Code,MEX
147,Marshall Islands,Country.Code,MHL
148,Middle income,Country.Code,MIC
149,"Macedonia, FYR",Country.Code,MKD
150,Mali,Country.Code,MLI
151,Malta,Country.Code,MLT
152,Myanmar,Country.Code,MMR
153,Middle East & North Africa (developing only),Country.Code,M
154,Montenegro,Country.Code,MNE
155,Mongolia,Country.Code,MNG
156,Northern Mariana Islands,Country.Code,MNP
157,Mozambique,Country.Code,MOZ
158,Mauritania,Country.Code,MRT
159,Mauritius,Country.Code,MUS
160,Malawi,Country.Code,MWI
161,Malaysia,Country.Code,MYS
162,North America,Country.Code,C
163,Namibia,Country.Code,M
164,New Caledonia,Country.Code,NCL
165,Niger,Country.Code,NER
166,Nigeria,Country.Code,NGA
167,Nicaragua,Country.Code,NIC
168,Netherlands,Country.Code,NLD
169,High income: nonOECD,Country.Code,NOC
170,Norway,Country.Code,NOR
171,Nepal,Country.Code,NPL
172,New Zealand,Country.Code,NZL
173,High income: OECD,Country.Code,OEC
174,OECD members,Country.Code,OED
175,Oman,Country.Code,OMN
176,Other small states,Country.Code,OSS
177,Pakistan,Country.Code,PAK
178,Panama,Country.Code,PAN
179,Peru,Country.Code,PER
180,Philippines,Country.Code,PHL
181,Palau,Country.Code,PLW
182,Papua New Guinea,Country.Code,PNG
183,Poland,Country.Code,POL
184,Puerto Rico,Country.Code,PRI
185,"Korea, Dem. Rep.",Country.Code,PRK
186,Portugal,Country.Code,PRT
187,Paraguay,Country.Code,PRY
188,Pacific island small states,Country.Code,PSS
189,French Polynesia,Country.Code,PYF
190,Qatar,Country.Code,QAT
191,Romania,Country.Code,ROU
192,Russian Federation,Country.Code,RUS
193,Rwanda,Country.Code,RWA
194,South Asia,Country.Code,SAS
195,Saudi Arabia,Country.Code,SAU
196,Sudan,Country.Code,SDN
197,Senegal,Country.Code,SEN
198,Singapore,Country.Code,SGP
199,Solomon Islands,Country.Code,SLB
200,Sierra Leone,Country.Code,SLE
201,El Salvador,Country.Code,SLV
202,San Marino,Country.Code,SMR
203,Somalia,Country.Code,SOM
204,Serbia,Country.Code,SRB
205,Sub-Saharan Africa (developing only),Country.Code,SSA
206,South Sudan,Country.Code,SSD
207,Sub-Saharan Africa (all income levels),Country.Code,SSF
208,Small states,Country.Code,SST
209,Sao Tome and Principe,Country.Code,STP
210,Suriname,Country.Code,SUR
211,Slovak Republic,Country.Code,SVK
212,Slovenia,Country.Code,SVN
213,Sweden,Country.Code,SWE
214,Swaziland,Country.Code,SWZ
215,Sint Maarten (Dutch part),Country.Code,SXM
216,Seychelles,Country.Code,SYC
217,Syrian Arab Republic,Country.Code,SYR
218,Turks and Caicos Islands,Country.Code,TCA
219,Chad,Country.Code,TCD
220,Togo,Country.Code,TGO
221,Thailand,Country.Code,THA
222,Tajikistan,Country.Code,TJK
223,Turkmenistan,Country.Code,TKM
224,Timor-Leste,Country.Code,TLS
225,Tonga,Country.Code,TON
226,Trinidad and Tobago,Country.Code,TTO
227,Tunisia,Country.Code,TUN
228,Turkey,Country.Code,TUR
229,Tuvalu,Country.Code,TUV
230,Tanzania,Country.Code,TZA
231,Uganda,Country.Code,UGA
232,Ukraine,Country.Code,UKR
233,Upper middle income,Country.Code,UMC
234,Uruguay,Country.Code,URY
235,United States,Country.Code,USA
236,Uzbekistan,Country.Code,UZB
237,St. Vincent and the Grenadines,Country.Code,VCT
238,"Venezuela, RB",Country.Code,VEN
239,Virgin Islands (U.S.),Country.Code,VIR
240,Vietnam,Country.Code,VNM
241,Vanuatu,Country.Code,VUT
242,West Bank and Gaza,Country.Code,PSE
243,World,Country.Code,WLD
244,Samoa,Country.Code,WSM
245,"Yemen, Rep.",Country.Code,YEM
246,South Africa,Country.Code,ZAF
247,"Congo, Dem. Rep.",Country.Code,COD
248,Zambia,Country.Code,ZMB
249,Zimbabwe,Country.Code,ZWE
250,Aruba,gdp1960,
251,Andorra,gdp1960,
252,Afghanistan,gdp1960,537777811.9
253,Angola,gdp1960,
254,Albania,gdp1960,
255,Arab World,gdp1960,
256,United Arab Emirates,gdp1960,
257,Argentina,gdp1960,
258,Armenia,gdp1960,
259,American Samoa,gdp1960,
260,Antigua and Barbuda,gdp1960,
261,Australia,gdp1960,18574308433
262,Austria,gdp1960,6592693841
263,Azerbaijan,gdp1960,
264,Burundi,gdp1960,195999990
265,Belgium,gdp1960,11658722591
266,Benin,gdp1960,226195578.1
267,Burkina Faso,gdp1960,330442817.2
268,Bangladesh,gdp1960,4274893914
269,Bulgaria,gdp1960,
270,Bahrain,gdp1960,
271,"Bahamas, The",gdp1960,169802258.5
272,Bosnia and Herzegovina,gdp1960,
273,Belarus,gdp1960,
274,Belize,gdp1960,28072479.84
275,Bermuda,gdp1960,84466654.08
276,Bolivia,gdp1960,563110051.9
277,Brazil,gdp1960,
278,Barbados,gdp1960,87383113.71
279,Brunei Darussalam,gdp1960,
280,Bhutan,gdp1960,
281,Botswana,gdp1960,30411418.77
282,Central African Republic,gdp1960,112155598.4
283,Canada,gdp1960,41093453545
284,Central Europe and the Baltics,gdp1960,
285,Switzerland,gdp1960,9522746719
286,Channel Islands,gdp1960,
287,Chile,gdp1960,4211762522
288,China,gdp1960,59184116449
289,Cote d'Ivoire,gdp1960,546203558.5
290,Cameroon,gdp1960,618740962
291,"Congo, Rep.",gdp1960,131731862.6
292,Colombia,gdp1960,4040948305
293,Comoros,gdp1960,
294,Cabo Verde,gdp1960,
295,Costa Rica,gdp1960,507516613.3
296,Caribbean small states,gdp1960,1859229127
297,Cuba,gdp1960,
298,Curacao,gdp1960,
299,Cayman Islands,gdp1960,
300,Cyprus,gdp1960,
301,Czech Republic,gdp1960,
302,Germany,gdp1960,
303,Djibouti,gdp1960,
304,Dominica,gdp1960,
305,Denmark,gdp1960,6248946880
306,Dominican Republic,gdp1960,672399700
307,Algeria,gdp1960,2723637620
308,East Asia & Pacific (developing only),gdp1960,80641521654
309,East Asia & Pacific (all income levels),gdp1960,1.54E+11
310,Europe & Central Asia (developing only),gdp1960,
311,Europe & Central Asia (all income levels),gdp1960,4.33E+11
312,Ecuador,gdp1960,1010325142
313,"Egypt, Arab Rep.",gdp1960,
314,Euro area,gdp1960,2.46E+11
315,Eritrea,gdp1960,
316,Spain,gdp1960,12072126075
317,Estonia,gdp1960,
318,Ethiopia,gdp1960,
319,European Union,gdp1960,3.59E+11
320,Fragile and conflict affected situations,gdp1960,
321,Finland,gdp1960,5224102196
322,Fiji,gdp1960,112334368.4
323,France,gdp1960,62651474947
324,Faeroe Islands,gdp1960,
325,"Micronesia, Fed. Sts.",gdp1960,
326,Gabon,gdp1960,141468977.6
327,United Kingdom,gdp1960,72328047042
328,Georgia,gdp1960,
329,Ghana,gdp1960,1217257319
330,Guinea,gdp1960,
331,"Gambia, The",gdp1960,
332,Guinea-Bissau,gdp1960,
333,Equatorial Guinea,gdp1960,
334,Greece,gdp1960,4446528165
335,Grenada,gdp1960,
336,Greenland,gdp1960,
337,Guatemala,gdp1960,1043599900
338,Guam,gdp1960,
339,Guyana,gdp1960,170216238.9
340,High income,gdp1960,1.11E+12
341,"Hong Kong SAR, China",gdp1960,1320799755
342,Honduras,gdp1960,335649984
343,Heavily indebted poor countries (HIPC),gdp1960,14507143201
344,Croatia,gdp1960,
345,Haiti,gdp1960,
346,Hungary,gdp1960,
347,Indonesia,gdp1960,
348,Isle of Man,gdp1960,
349,India,gdp1960,37679274491
350,Not classified,gdp1960,
351,Ireland,gdp1960,1939329775
352,"Iran, Islamic Rep.",gdp1960,
353,Iraq,gdp1960,1683918719
354,Iceland,gdp1960,248434097
355,Israel,gdp1960,2887222222
356,Italy,gdp1960,40385288344
357,Jamaica,gdp1960,699064351
358,Jordan,gdp1960,
359,Japan,gdp1960,44307342950
360,Kazakhstan,gdp1960,
361,Kenya,gdp1960,791261028.4
362,Kyrgyz Republic,gdp1960,
363,Cambodia,gdp1960,637142865.7
364,Kiribati,gdp1960,
365,St. Kitts and Nevis,gdp1960,12366635.58
366,"Korea, Rep.",gdp1960,3891849048
367,Kosovo,gdp1960,
368,Kuwait,gdp1960,
369,Latin America & Caribbean (developing only),gdp1960,
370,Lao PDR,gdp1960,
371,Lebanon,gdp1960,
372,Liberia,gdp1960,190495600
373,Libya,gdp1960,
374,St. Lucia,gdp1960,
375,Latin America & Caribbean (all income levels),gdp1960,
376,Least developed countries: UN classification,gdp1960,
377,Low income,gdp1960,
378,Liechtenstein,gdp1960,
379,Sri Lanka,gdp1960,1419629937
380,Lower middle income,gdp1960,92387600693
381,Low & middle income,gdp1960,2.72E+11
382,Lesotho,gdp1960,34579308.41
383,Lithuania,gdp1960,
384,Luxembourg,gdp1960,703925705.9
385,Latvia,gdp1960,
386,"Macao SAR, China",gdp1960,
387,St. Martin (French part),gdp1960,
388,Morocco,gdp1960,2037154690
389,Monaco,gdp1960,
390,Moldova,gdp1960,
391,Middle East (developing only),gdp1960,
392,Madagascar,gdp1960,673081724.1
393,Maldives,gdp1960,
394,Middle East & North Africa (all income levels),gdp1960,
395,Mexico,gdp1960,13056164925
396,Marshall Islands,gdp1960,
397,Middle income,gdp1960,2.62E+11
398,"Macedonia, FYR",gdp1960,
399,Mali,gdp1960,
400,Malta,gdp1960,
401,Myanmar,gdp1960,
402,Middle East & North Africa (developing only),gdp1960,
403,Montenegro,gdp1960,
404,Mongolia,gdp1960,
405,Northern Mariana Islands,gdp1960,
406,Mozambique,gdp1960,
407,Mauritania,gdp1960,92609243.69
408,Mauritius,gdp1960,
409,Malawi,gdp1960,162960131
410,Malaysia,gdp1960,2441020468
411,North America,gdp1960,5.84E+11
412,Namibia,gdp1960,
413,New Caledonia,gdp1960,
414,Niger,gdp1960,449526872.6
415,Nigeria,gdp1960,4196174325
416,Nicaragua,gdp1960,227223322.1
417,Netherlands,gdp1960,12276734172
418,High income: nonOECD,gdp1960,
419,Norway,gdp1960,5163271598
420,Nepal,gdp1960,508334416.8
421,New Zealand,gdp1960,5485854792
422,High income: OECD,gdp1960,1.04E+12
423,OECD members,gdp1960,1.07E+12
424,Oman,gdp1960,44234653.98
425,Other small states,gdp1960,
426,Pakistan,gdp1960,3707055834
427,Panama,gdp1960,415800032
428,Peru,gdp1960,3333333333
429,Philippines,gdp1960,6684685511
430,Palau,gdp1960,
431,Papua New Guinea,gdp1960,230496033
432,Poland,gdp1960,
433,Puerto Rico,gdp1960,1691900000
434,"Korea, Dem. Rep.",gdp1960,
435,Portugal,gdp1960,3193200404
436,Paraguay,gdp1960,
437,Pacific island small states,gdp1960,
438,French Polynesia,gdp1960,
439,Qatar,gdp1960,
440,Romania,gdp1960,
441,Russian Federation,gdp1960,
442,Rwanda,gdp1960,119000024.1
443,South Asia,gdp1960,47688915929
444,Saudi Arabia,gdp1960,
445,Sudan,gdp1960,1126364159
446,Senegal,gdp1960,792824702.8
447,Singapore,gdp1960,704457699.9
448,Solomon Islands,gdp1960,
449,Sierra Leone,gdp1960,322009470.7
450,El Salvador,gdp1960,
451,San Marino,gdp1960,
452,Somalia,gdp1960,180460950.4
453,Serbia,gdp1960,
454,Sub-Saharan Africa (developing only),gdp1960,26578191927
455,South Sudan,gdp1960,
456,Sub-Saharan Africa (all income levels),gdp1960,26580698721
457,Small states,gdp1960,2901695368
458,Sao Tome and Principe,gdp1960,
459,Suriname,gdp1960,93850000
460,Slovak Republic,gdp1960,
461,Slovenia,gdp1960,
462,Sweden,gdp1960,14842870293
463,Swaziland,gdp1960,35076158.48
464,Sint Maarten (Dutch part),gdp1960,
465,Seychelles,gdp1960,12012264.27
466,Syrian Arab Republic,gdp1960,857704432.6
467,Turks and Caicos Islands,gdp1960,
468,Chad,gdp1960,313582729.4
469,Togo,gdp1960,121128072.4
470,Thailand,gdp1960,2760750922
471,Tajikistan,gdp1960,
472,Turkmenistan,gdp1960,
473,Timor-Leste,gdp1960,
474,Tonga,gdp1960,
475,Trinidad and Tobago,gdp1960,535673245.3
476,Tunisia,gdp1960,
477,Turkey,gdp1960,13983572895
478,Tuvalu,gdp1960,
479,Tanzania,gdp1960,
480,Uganda,gdp1960,423008385.7
481,Ukraine,gdp1960,
482,Upper middle income,gdp1960,1.70E+11
483,Uruguay,gdp1960,1243993170
484,United States,gdp1960,5.43E+11
485,Uzbekistan,gdp1960,
486,St. Vincent and the Grenadines,gdp1960,13066633.83
487,"Venezuela, RB",gdp1960,8607600069
488,Virgin Islands (U.S.),gdp1960,24200000
489,Vietnam,gdp1960,
490,Vanuatu,gdp1960,
491,West Bank and Gaza,gdp1960,
492,World,gdp1960,1.37E+12
493,Samoa,gdp1960,
494,"Yemen, Rep.",gdp1960,
495,South Africa,gdp1960,7363096178
496,"Congo, Dem. Rep.",gdp1960,
497,Zambia,gdp1960,698735807.6
498,Zimbabwe,gdp1960,1052990400
499,Aruba,gdp1961,
500,Andorra,gdp1961,
501,Afghanistan,gdp1961,548888894.6
502,Angola,gdp1961,
503,Albania,gdp1961,
504,Arab World,gdp1961,
505,United Arab Emirates,gdp1961,
506,Argentina,gdp1961,
507,Armenia,gdp1961,
508,American Samoa,gdp1961,
509,Antigua and Barbuda,gdp1961,
510,Australia,gdp1961,19651696719
511,Austria,gdp1961,7311749633
512,Azerbaijan,gdp1961,
513,Burundi,gdp1961,202999992
514,Belgium,gdp1961,12400145222
515,Benin,gdp1961,235668220.9
516,Burkina Faso,gdp1961,350247237.1
517,Bangladesh,gdp1961,4817580184
518,Bulgaria,gdp1961,
519,Bahrain,gdp1961,
520,"Bahamas, The",gdp1961,190096177.4
521,Bosnia and Herzegovina,gdp1961,
522,Belarus,gdp1961,
523,Belize,gdp1961,29965001.85
524,Bermuda,gdp1961,89249986.7
525,Bolivia,gdp1961,612518906.8
526,Brazil,gdp1961,
527,Barbados,gdp1961,93216432.38
528,Brunei Darussalam,gdp1961,
529,Bhutan,gdp1961,
530,Botswana,gdp1961,32902592.61
531,Central African Republic,gdp1961,123134583.7
532,Canada,gdp1961,40767969454
533,Central Europe and the Baltics,gdp1961,
534,Switzerland,gdp1961,10712712465
535,Channel Islands,gdp1961,
536,Chile,gdp1961,4705377500
537,China,gdp1961,49557050149
538,Cote d'Ivoire,gdp1961,618245635.1
539,Cameroon,gdp1961,657597316.8
540,"Congo, Rep.",gdp1961,151675739.2
541,Colombia,gdp1961,4552914130
542,Comoros,gdp1961,
543,Cabo Verde,gdp1961,
544,Costa Rica,gdp1961,490324260.7
545,Caribbean small states,gdp1961,2010807365
546,Cuba,gdp1961,
547,Curacao,gdp1961,
548,Cayman Islands,gdp1961,
549,Cyprus,gdp1961,
550,Czech Republic,gdp1961,
551,Germany,gdp1961,
552,Djibouti,gdp1961,
553,Dominica,gdp1961,
554,Denmark,gdp1961,6933842099
555,Dominican Republic,gdp1961,654100200
556,Algeria,gdp1961,2434766866
557,East Asia & Pacific (developing only),gdp1961,70820227483
558,East Asia & Pacific (all income levels),gdp1961,1.54E+11
559,Europe & Central Asia (developing only),gdp1961,
560,Europe & Central Asia (all income levels),gdp1961,4.61E+11
561,Ecuador,gdp1961,979108808
562,"Egypt, Arab Rep.",gdp1961,
563,Euro area,gdp1961,2.70E+11
564,Eritrea,gdp1961,
565,Spain,gdp1961,13834300571
566,Estonia,gdp1961,
567,Ethiopia,gdp1961,
568,European Union,gdp1961,3.91E+11
569,Fragile and conflict affected situations,gdp1961,
570,Finland,gdp1961,5921659485
571,Fiji,gdp1961,116993977.8
572,France,gdp1961,68346741504
573,Faeroe Islands,gdp1961,
574,"Micronesia, Fed. Sts.",gdp1961,
575,Gabon,gdp1961,167637907.4
576,United Kingdom,gdp1961,76694360636
577,Georgia,gdp1961,
578,Ghana,gdp1961,1302703460
579,Guinea,gdp1961,
580,"Gambia, The",gdp1961,
581,Guinea-Bissau,gdp1961,
582,Equatorial Guinea,gdp1961,
583,Greece,gdp1961,5016048786
584,Grenada,gdp1961,
585,Greenland,gdp1961,
586,Guatemala,gdp1961,1076699900
587,Guam,gdp1961,
588,Guyana,gdp1961,185849532.9
589,High income,gdp1961,1.17E+12
590,"Hong Kong SAR, China",gdp1961,1530754831
591,Honduras,gdp1961,356200000
592,Heavily indebted poor countries (HIPC),gdp1961,15370832864
593,Croatia,gdp1961,
594,Haiti,gdp1961,
595,Hungary,gdp1961,
596,Indonesia,gdp1961,
597,Isle of Man,gdp1961,
598,India,gdp1961,39920452403
599,Not classified,gdp1961,
600,Ireland,gdp1961,2088012282
601,"Iran, Islamic Rep.",gdp1961,
602,Iraq,gdp1961,1831479776
603,Iceland,gdp1961,253885656.3
604,Israel,gdp1961,3487222222
605,Italy,gdp1961,44842760293
606,Jamaica,gdp1961,748043469.4
607,Jordan,gdp1961,
608,Japan,gdp1961,53508617739
609,Kazakhstan,gdp1961,
610,Kenya,gdp1961,792955032.3
611,Kyrgyz Republic,gdp1961,
612,Cambodia,gdp1961,642857134.3
613,Kiribati,gdp1961,
614,St. Kitts and Nevis,gdp1961,12483301.96
615,"Korea, Rep.",gdp1961,2357059045
616,Kosovo,gdp1961,
617,Kuwait,gdp1961,
618,Latin America & Caribbean (developing only),gdp1961,
619,Lao PDR,gdp1961,
620,Lebanon,gdp1961,
621,Liberia,gdp1961,183920900
622,Libya,gdp1961,
623,St. Lucia,gdp1961,
624,Latin America & Caribbean (all income levels),gdp1961,
625,Least developed countries: UN classification,gdp1961,
626,Low income,gdp1961,
627,Liechtenstein,gdp1961,
628,Sri Lanka,gdp1961,1454342122
629,Lower middle income,gdp1961,98503481333
630,Low & middle income,gdp1961,2.60E+11
631,Lesotho,gdp1961,35699286.01
632,Lithuania,gdp1961,
633,Luxembourg,gdp1961,704145671.4
634,Latvia,gdp1961,
635,"Macao SAR, China",gdp1961,
636,St. Martin (French part),gdp1961,
637,Morocco,gdp1961,2025693488
638,Monaco,gdp1961,
639,Moldova,gdp1961,
640,Middle East (developing only),gdp1961,
641,Madagascar,gdp1961,699161943.9
642,Maldives,gdp1961,
643,Middle East & North Africa (all income levels),gdp1961,
644,Mexico,gdp1961,14153954349
645,Marshall Islands,gdp1961,
646,Middle income,gdp1961,2.49E+11
647,"Macedonia, FYR",gdp1961,
648,Mali,gdp1961,
649,Malta,gdp1961,
650,Myanmar,gdp1961,
651,Middle East & North Africa (developing only),gdp1961,
652,Montenegro,gdp1961,
653,Mongolia,gdp1961,
654,Northern Mariana Islands,gdp1961,
655,Mozambique,gdp1961,
656,Mauritania,gdp1961,107726205.6
657,Mauritius,gdp1961,
658,Malawi,gdp1961,174580140.4
659,Malaysia,gdp1961,2422724549
660,North America,gdp1961,6.04E+11
661,Namibia,gdp1961,
662,New Caledonia,gdp1961,
663,Niger,gdp1961,485785231.7
664,Nigeria,gdp1961,4467287705
665,Nicaragua,gdp1961,244144236.7
666,Netherlands,gdp1961,13493833740
667,High income: nonOECD,gdp1961,
668,Norway,gdp1961,5632460937
669,Nepal,gdp1961,531959564.6
670,New Zealand,gdp1961,5670064168
671,High income: OECD,gdp1961,1.10E+12
672,OECD members,gdp1961,1.13E+12
673,Oman,gdp1961,45634484.8
674,Other small states,gdp1961,
675,Pakistan,gdp1961,4054599105
676,Panama,gdp1961,463700032
677,Peru,gdp1961,3333333333
678,Philippines,gdp1961,7257047664
679,Palau,gdp1961,
680,Papua New Guinea,gdp1961,244832035
681,Poland,gdp1961,
682,Puerto Rico,gdp1961,1865100000
683,"Korea, Dem. Rep.",gdp1961,
684,Portugal,gdp1961,3417516639
685,Paraguay,gdp1961,
686,Pacific island small states,gdp1961,
687,French Polynesia,gdp1961,
688,Qatar,gdp1961,
689,Romania,gdp1961,
690,Russian Federation,gdp1961,
691,Rwanda,gdp1961,122000016.1
692,South Asia,gdp1961,50860637686
693,Saudi Arabia,gdp1961,
694,Sudan,gdp1961,1222860425
695,Senegal,gdp1961,836493103.6
696,Singapore,gdp1961,764303121
697,Solomon Islands,gdp1961,
698,Sierra Leone,gdp1961,327834679.7
699,El Salvador,gdp1961,
700,San Marino,gdp1961,
701,Somalia,gdp1961,191660990.9
702,Serbia,gdp1961,
703,Sub-Saharan Africa (developing only),gdp1961,28063229178
704,South Sudan,gdp1961,
705,Sub-Saharan Africa (all income levels),gdp1961,28064598396
706,Small states,gdp1961,3154455555
707,Sao Tome and Principe,gdp1961,
708,Suriname,gdp1961,98400000
709,Slovak Republic,gdp1961,
710,Slovenia,gdp1961,
711,Sweden,gdp1961,16147160123
712,Swaziland,gdp1961,43025199.5
713,Sint Maarten (Dutch part),gdp1961,
714,Seychelles,gdp1961,11592255.03
715,Syrian Arab Republic,gdp1961,945244993.2
716,Turks and Caicos Islands,gdp1961,
717,Chad,gdp1961,333975338.8
718,Togo,gdp1961,126396468.9
719,Thailand,gdp1961,3034037871
720,Tajikistan,gdp1961,
721,Turkmenistan,gdp1961,
722,Timor-Leste,gdp1961,
723,Tonga,gdp1961,
724,Trinidad and Tobago,gdp1961,584964613.1
725,Tunisia,gdp1961,
726,Turkey,gdp1961,8022222222
727,Tuvalu,gdp1961,
728,Tanzania,gdp1961,
729,Uganda,gdp1961,441524109
730,Ukraine,gdp1961,
731,Upper middle income,gdp1961,1.50E+11
732,Uruguay,gdp1961,1549623550
733,United States,gdp1961,5.63E+11
734,Uzbekistan,gdp1961,
735,St. Vincent and the Grenadines,gdp1961,13999964.81
736,"Venezuela, RB",gdp1961,8923366628
737,Virgin Islands (U.S.),gdp1961,25700000
738,Vietnam,gdp1961,
739,Vanuatu,gdp1961,
740,West Bank and Gaza,gdp1961,
741,World,gdp1961,1.42E+12
742,Samoa,gdp1961,
743,"Yemen, Rep.",gdp1961,
744,South Africa,gdp1961,7742634887
745,"Congo, Dem. Rep.",gdp1961,
746,Zambia,gdp1961,682355905.9
747,Zimbabwe,gdp1961,1096646600
748,Aruba,gdp1962,
749,Andorra,gdp1962,
750,Afghanistan,gdp1962,546666678
751,Angola,gdp1962,
752,Albania,gdp1962,
753,Arab World,gdp1962,
754,United Arab Emirates,gdp1962,
755,Argentina,gdp1962,
756,Armenia,gdp1962,
757,American Samoa,gdp1962,
758,Antigua and Barbuda,gdp1962,
759,Australia,gdp1962,19886885429
760,Austria,gdp1962,7756110210
761,Azerbaijan,gdp1962,
762,Burundi,gdp1962,213500006
763,Belgium,gdp1962,13264015675
764,Benin,gdp1962,236434954.3
765,Burkina Faso,gdp1962,379567178.3
766,Bangladesh,gdp1962,5081413341
767,Bulgaria,gdp1962,
768,Bahrain,gdp1962,
769,"Bahamas, The",gdp1962,212252823.1
